Date,Open,High,Low,Close,Adj Close,Volume
2016-07-26,216.529999,217.169998,215.759995,216.750000,191.644974,70080500
2016-07-27,217.190002,217.270004,215.619995,216.520004,191.441666,84083900
2016-07-28,216.289993,217.110001,215.750000,216.770004,191.662659,65035700
2016-07-29,216.460007,217.539993,216.130005,217.119995,191.972107,79519400
2016-08-01,217.190002,217.649994,216.410004,216.940002,191.812988,73311400
2016-08-02,216.649994,216.830002,214.570007,215.550003,190.583969,92295500
2016-08-03,215.479996,216.250000,215.130005,216.179993,191.140976,53993600
2016-08-04,216.309998,216.779999,214.250000,216.410004,191.344421,46585500
2016-08-05,216.410004,218.229996,216.410004,218.179993,192.909348,71892200
2016-08-08,218.399994,218.520004,217.740005,218.050003,192.794403,39906500
2016-08-09,218.130005,218.759995,217.800003,218.179993,192.909348,51251700
2016-08-10,218.309998,218.399994,217.229996,217.639999,192.431915,57941100
2016-08-11,218.259995,218.940002,217.949997,218.649994,193.324921,72504300
2016-08-12,218.289993,218.710007,217.990005,218.460007,193.156937,61313500
2016-08-15,218.889999,219.500000,218.880005,219.089996,193.713943,49813500
2016-08-16,218.600006,218.679993,217.960007,217.960007,192.714813,53213600
2016-08-17,218.000000,218.529999,217.020004,218.369995,193.077332,75134300
2016-08-18,218.339996,218.899994,218.210007,218.860001,193.510590,52989300
2016-08-19,218.309998,218.750000,217.740005,218.539993,193.227646,75443000
2016-08-22,218.259995,218.800003,217.830002,218.529999,193.218811,61368800
2016-08-23,219.250000,219.600006,218.899994,218.970001,193.607880,53399200
2016-08-24,218.800003,218.910004,217.360001,217.850006,192.617569,71728900
2016-08-25,217.399994,218.190002,217.220001,217.699997,192.484940,69224800
2016-08-26,217.919998,219.119995,216.250000,217.289993,192.122467,122506300
2016-08-29,217.440002,218.669998,217.399994,218.360001,193.068558,70502200
2016-08-30,218.259995,218.589996,217.350006,218.000000,192.750214,58114500
2016-08-31,217.610001,217.750000,216.470001,217.380005,192.201996,85269500
2016-09-01,217.369995,217.729996,216.029999,217.389999,192.210861,97844200
2016-09-02,218.389999,218.869995,217.699997,218.369995,193.077332,79293900
2016-09-06,218.699997,219.119995,217.860001,219.029999,193.660889,56702100
2016-09-07,218.839996,219.220001,218.300003,219.009995,193.643250,76554900
2016-09-08,218.619995,218.940002,218.149994,218.509995,193.201096,74102900
2016-09-09,216.970001,217.029999,213.250000,213.279999,188.576889,221589100
2016-09-12,212.389999,216.809998,212.309998,216.339996,191.282471,168110900
2016-09-13,214.839996,215.149994,212.500000,213.229996,188.532684,182828800
2016-09-14,213.289993,214.699997,212.500000,213.149994,188.461960,134185500
2016-09-15,212.960007,215.729996,212.750000,215.279999,190.345245,134427900
2016-09-16,213.479996,213.690002,212.570007,213.369995,189.609467,155236400
2016-09-19,214.130005,214.880005,213.029999,213.410004,189.644989,80250500
2016-09-20,214.410004,214.589996,213.380005,213.419998,189.653885,69665300
2016-09-21,214.240005,216.029999,213.440002,215.820007,191.786606,110284400
2016-09-22,217.000000,217.529999,216.710007,217.179993,192.995163,76678700
2016-09-23,216.720001,216.880005,215.880005,215.990005,191.937744,73630900
2016-09-26,215.020004,215.229996,214.009995,214.240005,190.382553,89827300
2016-09-27,214.050003,215.679993,213.619995,215.570007,191.564468,78494800
2016-09-28,215.830002,216.820007,214.710007,216.639999,192.515320,87411000
